date,VCB,BID,CTG,MBB,TCB,ACB,VPB,HDB,VIB,TPB,STB,SHB,LPB,SSB,MSB,OCB,NAB,BAB,KLB,PGB,VAB,VBB,SGB,ABB,BVB
2014-06-30,7.7,6.51,5.85,2.24,,2.35,,,,,17.17,2.36,,,,,,,,,,,,,
2014-07-31,7.52,6.51,5.93,2.21,,2.35,,,,,16.42,2.31,,,,,,,,,,,,,
2014-08-31,8.23,6.75,5.97,2.27,,2.37,,,,,16.17,2.5,,,,,,,,,,,,,
2014-09-30,7.67,6.25,5.81,2.28,,2.32,,,,,15.92,2.42,,,,,,,,,,,,,
2014-10-31,8.14,6.12,5.93,2.34,,2.34,,,,,15.92,2.29,,,,,,,,,,,,,
2014-11-30,8.14,5.75,5.65,2.26,,2.32,,,,,15.5,2.29,,,,,,,,,,,,,
2014-12-31,9.38,5.75,5.57,2.31,,2.35,,,,,15.0,2.13,,,,,,,,,,,,,
2015-01-31,10.49,7.93,7.26,2.5,,2.63,,,,,15.83,2.37,,,,,,,,,,,,,
2015-02-28,11.29,8.43,7.82,2.48,,2.6,,,,,16.17,2.37,,,,,,,,,,,,,
2015-03-31,10.32,7.98,6.98,2.41,,2.55,,,,,15.58,2.26,,,,,,,,,,,,,
2015-04-30,10.64,8.52,7.26,2.43,,2.57,,,,,14.92,2.21,,,,,,,,,,,,,
2015-05-31,12.73,9.69,7.86,2.43,,3.08,,,,,15.08,2.1,,,,,,,,,,,,,
2015-06-30,14.66,10.6,8.13,2.66,,3.27,,,,,15.5,2.16,,,,,,,,,,,,,
2015-07-31,14.99,12.23,9.52,2.78,,3.45,,,,,15.83,2.21,,,,,,,,,,,,,
2015-08-31,12.76,11.65,8.17,2.58,,2.92,,,,,13.83,1.91,,,,,,,,,,,,,
2015-09-30,12.88,11.9,8.3,2.81,,3.1,,,,,13.67,1.88,,,,,,,,,,,,,
2015-10-31,14.32,12.1,8.8,2.7,,3.32,,,,,13.6,1.91,,,,,,,,,,,,,
2015-11-30,12.88,10.24,7.79,2.64,,3.1,,,,,11.0,1.88,,,,,,,,,,,,,
2015-12-31,13.18,10.34,7.87,2.74,,3.16,,,,,13.1,1.83,,,,,,,,,,,,,
2016-01-31,12.43,8.44,7.28,2.7,,3.03,,,,,11.3,1.83,,,,,,,,,,,,,
2016-02-29,12.31,8.89,7.53,2.74,,3.14,,,,,11.0,1.88,,,,,,,,,,,,,
