Portfolio,DD_Start,DD_Trough,DD_Recovery,Depth_pct,Months_to_Trough,Recovery_Months,Total_Months
MKT,2018-04-30,2018-06-30,2019-12-31 00:00:00,-26.94,2,18.0,20
MKT,2020-02-29,2020-03-31,2020-11-30 00:00:00,-31.07,1,8.0,9
MKT,2021-01-31,2021-01-31,2021-02-28 00:00:00,-7.88,0,1.0,1
MKT,2021-07-31,2021-08-31,2022-01-31 00:00:00,-14.38,1,5.0,6
MKT,2022-02-28,2022-10-31,2024-02-29 00:00:00,-32.51,8,16.0,24
MKT,2024-04-30,2024-06-30,2024-08-31 00:00:00,-6.99,2,2.0,4
MKT,2024-10-31,2024-11-30,2025-01-31 00:00:00,-2.81,1,2.0,3
MKT,2025-04-30,2025-04-30,2025-07-31 00:00:00,-7.69,0,3.0,3
MKT,2025-09-30,2026-03-31,Not recovered,-12.23,6,,8
TAN,2018-04-30,2020-03-31,2020-12-31 00:00:00,-38.05,23,9.0,32
TAN,2021-01-31,2021-01-31,2021-02-28 00:00:00,-8.08,0,1.0,1
TAN,2021-07-31,2021-08-31,2021-12-31 00:00:00,-15.62,1,4.0,5
TAN,2022-02-28,2022-12-31,2025-08-31 00:00:00,-51.54,10,32.0,42
TAN,2025-09-30,2026-03-31,2026-05-31 00:00:00,-11.19,6,2.0,8
MV,2018-04-30,2020-03-31,2020-12-31 00:00:00,-38.44,23,9.0,32
MV,2021-01-31,2021-01-31,2021-03-31 00:00:00,-8.08,0,2.0,2
MV,2021-06-30,2021-08-31,2022-01-31 00:00:00,-13.03,2,5.0,7
MV,2022-02-28,2022-12-31,2025-07-31 00:00:00,-31.67,10,31.0,41
MV,2025-09-30,2026-03-31,Not recovered,-15.37,6,,8
BL,2018-04-30,2018-07-31,2020-01-31 00:00:00,-28.61,3,18.0,21
BL,2020-02-29,2020-03-31,2020-11-30 00:00:00,-31.62,1,8.0,9
BL,2021-01-31,2021-01-31,2021-02-28 00:00:00,-10.46,0,1.0,1
BL,2021-06-30,2022-10-31,2025-06-30 00:00:00,-51.13,16,32.0,48
BL,2025-09-30,2025-11-30,2026-02-28 00:00:00,-11.64,2,3.0,5
BL,2026-03-31,2026-03-31,Not recovered,-8.12,0,,2
EW,2018-04-30,2018-12-31,2020-09-30 00:00:00,-30.36,8,21.0,29
EW,2021-01-31,2021-01-31,2021-02-28 00:00:00,-6.29,0,1.0,1
EW,2021-06-30,2021-08-31,2022-01-31 00:00:00,-13.58,2,5.0,7
EW,2022-02-28,2022-10-31,2024-09-30 00:00:00,-36.55,8,23.0,31
EW,2024-10-31,2024-11-30,2025-02-28 00:00:00,-4.67,1,3.0,4
EW,2025-04-30,2025-04-30,2025-05-31 00:00:00,-4.87,0,1.0,1
EW,2025-09-30,2026-03-31,Not recovered,-11.1,6,,8
RP,2018-04-30,2018-12-31,2020-09-30 00:00:00,-30.36,8,21.0,29
RP,2021-01-31,2021-01-31,2021-02-28 00:00:00,-6.29,0,1.0,1
RP,2021-06-30,2021-08-31,2022-01-31 00:00:00,-13.58,2,5.0,7
RP,2022-02-28,2022-10-31,2024-09-30 00:00:00,-36.55,8,23.0,31
RP,2024-10-31,2024-11-30,2025-02-28 00:00:00,-4.67,1,3.0,4
RP,2025-04-30,2025-04-30,2025-05-31 00:00:00,-4.87,0,1.0,1
RP,2025-09-30,2026-03-31,Not recovered,-11.1,6,,8
